G1;G2;|G1|;|G2|;Coeff Vars;Coeff Lits;
 [i('$VAR'(5),'$VAR'(4)),g('$VAR'(10),'$VAR'(6)),g('$VAR'(2),'$VAR'(3)),f('$VAR'(10)),i('$VAR'(6),'$VAR'(6)),g('$VAR'(1),'$VAR'(7)),g('$VAR'(10),'$VAR'(9)),h('$VAR'(6),'$VAR'(1),'$VAR'(2)),h('$VAR'(3),'$VAR'(10),'$VAR'(9)),f('$VAR'(3)),h('$VAR'(4),'$VAR'(2),'$VAR'(5)),h('$VAR'(2),'$VAR'(5),'$VAR'(3)),g('$VAR'(7),'$VAR'(4)),g('$VAR'(10),'$VAR'(7)),f('$VAR'(9))]; [h('$VAR'(13),'$VAR'(15),R),g('$VAR'(13),R),f('$VAR'(12)),h(R,'$VAR'(12),'$VAR'(16)),i(R,'$VAR'(16)),f('$VAR'(11)),f('$VAR'(16)),f('$VAR'(17)),f('$VAR'(14)),g('$VAR'(16),'$VAR'(13)),i('$VAR'(12),'$VAR'(17)),g('$VAR'(12),'$VAR'(14)),i('$VAR'(17),'$VAR'(12))];15;13;362880;259200;
 [g('$VAR'(10),'$VAR'(4)),i('$VAR'(9),'$VAR'(2)),h('$VAR'(6),'$VAR'(4),'$VAR'(2)),f('$VAR'(5)),f('$VAR'(3)),h('$VAR'(3),'$VAR'(3),'$VAR'(5)),g('$VAR'(4),'$VAR'(3)),g('$VAR'(7),'$VAR'(10)),f('$VAR'(1)),g('$VAR'(8),'$VAR'(2)),f('$VAR'(8)),f('$VAR'(4)),h('$VAR'(3),'$VAR'(2),'$VAR'(5)),h('$VAR'(8),'$VAR'(1),'$VAR'(7)),f('$VAR'(10)),i('$VAR'(7),'$VAR'(6)),h('$VAR'(5),'$VAR'(10),'$VAR'(8)),f('$VAR'(3)),i('$VAR'(8),'$VAR'(3))]; [f('$VAR'(14)),h('$VAR'(17),'$VAR'(13),'$VAR'(11)),f('$VAR'(14)),i(R,'$VAR'(14)),h('$VAR'(16),'$VAR'(17),'$VAR'(12)),g('$VAR'(12),'$VAR'(14)),h('$VAR'(16),'$VAR'(16),'$VAR'(17)),f('$VAR'(13)),h('$VAR'(17),'$VAR'(17),'$VAR'(11)),g('$VAR'(12),'$VAR'(12)),f('$VAR'(15))];19;11;1814400;241920;
 [h('$VAR'(9),'$VAR'(10),'$VAR'(9)),f('$VAR'(8)),g('$VAR'(3),'$VAR'(10)),h('$VAR'(1),'$VAR'(5),'$VAR'(1)),g('$VAR'(5),'$VAR'(8)),g('$VAR'(8),'$VAR'(3)),g('$VAR'(6),'$VAR'(9)),f('$VAR'(1)),i('$VAR'(5),'$VAR'(7)),h('$VAR'(5),'$VAR'(5),'$VAR'(1)),g('$VAR'(4),'$VAR'(9)),i('$VAR'(2),'$VAR'(2)),g('$VAR'(8),'$VAR'(4)),h('$VAR'(6),'$VAR'(9),'$VAR'(6)),i('$VAR'(9),'$VAR'(1)),h('$VAR'(2),'$VAR'(3),'$VAR'(2))]; [f('$VAR'(17)),i('$VAR'(17),T),g('$VAR'(16),R),i(S,S),f(T),f('$VAR'(15)),g('$VAR'(16),'$VAR'(12)),f(R),g('$VAR'(15),'$VAR'(14)),g('$VAR'(14),'$VAR'(15)),f('$VAR'(15)),h('$VAR'(13),R,'$VAR'(13)),g(R,'$VAR'(11)),i('$VAR'(12),R),i('$VAR'(17),'$VAR'(17))];16;15;3628800;230400;
 [g('$VAR'(6),'$VAR'(1)),h('$VAR'(2),'$VAR'(9),'$VAR'(8)),h('$VAR'(7),'$VAR'(6),'$VAR'(8)),h('$VAR'(8),'$VAR'(8),'$VAR'(1)),i('$VAR'(8),'$VAR'(4)),h('$VAR'(4),'$VAR'(8),'$VAR'(7)),g('$VAR'(7),'$VAR'(10)),h('$VAR'(2),'$VAR'(2),'$VAR'(10)),h('$VAR'(3),'$VAR'(2),'$VAR'(1)),g('$VAR'(6),'$VAR'(7)),i('$VAR'(5),'$VAR'(5)),g('$VAR'(5),'$VAR'(7)),f('$VAR'(10)),f('$VAR'(1))]; [g('$VAR'(17),'$VAR'(11)),g('$VAR'(15),'$VAR'(14)),f('$VAR'(16)),h(R,'$VAR'(11),S),g(T,'$VAR'(12)),g('$VAR'(12),'$VAR'(15)),i('$VAR'(12),'$VAR'(16)),i('$VAR'(13),'$VAR'(13)),i('$VAR'(12),'$VAR'(15)),g('$VAR'(15),'$VAR'(14)),f(R),g(T,'$VAR'(15)),i('$VAR'(14),S),i(R,R),f(T),h(S,S,'$VAR'(11)),f('$VAR'(14))];14;17;3628800;207360;
 [i('$VAR'(8),'$VAR'(6)),i('$VAR'(6),'$VAR'(9)),i('$VAR'(4),'$VAR'(2)),h('$VAR'(8),'$VAR'(8),'$VAR'(10)),h('$VAR'(4),'$VAR'(10),'$VAR'(2)),g('$VAR'(9),'$VAR'(3)),i('$VAR'(9),'$VAR'(4)),h('$VAR'(5),'$VAR'(3),'$VAR'(2)),g('$VAR'(7),'$VAR'(9)),i('$VAR'(1),'$VAR'(9)),f('$VAR'(9)),g('$VAR'(4),'$VAR'(10)),f('$VAR'(2)),h('$VAR'(3),'$VAR'(3),'$VAR'(5)),h('$VAR'(5),'$VAR'(6),'$VAR'(8)),g('$VAR'(6),'$VAR'(5)),f('$VAR'(4))]; [f('$VAR'(14)),f('$VAR'(16)),g('$VAR'(16),R),g(S,'$VAR'(15)),i('$VAR'(17),'$VAR'(13)),g('$VAR'(16),'$VAR'(17)),h('$VAR'(11),S,'$VAR'(13)),f(S),i('$VAR'(12),'$VAR'(17)),i(S,'$VAR'(14)),g('$VAR'(13),'$VAR'(16)),h('$VAR'(17),'$VAR'(14),'$VAR'(16)),f('$VAR'(16))];17;13;3628800;207360;9, 9
 [h('$VAR'(9),'$VAR'(1),'$VAR'(8)),i('$VAR'(9),'$VAR'(6)),g('$VAR'(1),'$VAR'(3)),g('$VAR'(3),'$VAR'(3)),f('$VAR'(8)),g('$VAR'(6),'$VAR'(5)),g('$VAR'(6),'$VAR'(7)),f('$VAR'(7)),i('$VAR'(7),'$VAR'(5)),h('$VAR'(3),'$VAR'(7),'$VAR'(2)),g('$VAR'(8),'$VAR'(1)),f('$VAR'(2)),h('$VAR'(6),'$VAR'(7),'$VAR'(5))]; [f('$VAR'(14)),h('$VAR'(11),'$VAR'(16),'$VAR'(14)),f('$VAR'(14)),f(T),f(R),g(S,S),i('$VAR'(17),S),f('$VAR'(12)),i('$VAR'(17),'$VAR'(17)),h('$VAR'(15),'$VAR'(17),'$VAR'(12)),g('$VAR'(13),'$VAR'(14)),i('$VAR'(11),T),g(R,T),h('$VAR'(14),S,'$VAR'(17)),g('$VAR'(15),'$VAR'(17)),h('$VAR'(16),'$VAR'(14),T),i(T,'$VAR'(13))];13;17;1814400;207360;
 [g('$VAR'(1),'$VAR'(4)),h('$VAR'(2),'$VAR'(8),'$VAR'(4)),i('$VAR'(6),'$VAR'(8)),h('$VAR'(4),'$VAR'(6),'$VAR'(7)),h('$VAR'(9),'$VAR'(1),'$VAR'(5)),f('$VAR'(9)),g('$VAR'(3),'$VAR'(1)),f('$VAR'(2)),f('$VAR'(2)),g('$VAR'(2),'$VAR'(8)),g('$VAR'(8),'$VAR'(4)),g('$VAR'(3),'$VAR'(3)),i('$VAR'(9),'$VAR'(1)),f('$VAR'(6))]; [f(R),f('$VAR'(11)),i(R,'$VAR'(16)),g(R,T),h(T,S,T),h('$VAR'(14),'$VAR'(12),'$VAR'(15)),h('$VAR'(16),'$VAR'(12),'$VAR'(17)),h('$VAR'(12),'$VAR'(11),'$VAR'(17)),h('$VAR'(15),T,'$VAR'(15)),i('$VAR'(14),'$VAR'(11)),g('$VAR'(17),'$VAR'(16)),i('$VAR'(16),'$VAR'(11)),f('$VAR'(11)),i('$VAR'(14),'$VAR'(16)),g(T,'$VAR'(11)),g('$VAR'(13),T),i('$VAR'(16),'$VAR'(16)),f('$VAR'(11)),g('$VAR'(11),'$VAR'(16))];14;19;362880;207360;
 [i('$VAR'(10),'$VAR'(7)),h('$VAR'(1),'$VAR'(7),'$VAR'(6)),g('$VAR'(9),'$VAR'(2)),i('$VAR'(3),'$VAR'(8)),f('$VAR'(8)),i('$VAR'(1),'$VAR'(10)),g('$VAR'(8),'$VAR'(5)),i('$VAR'(10),'$VAR'(3)),g('$VAR'(2),'$VAR'(7)),h('$VAR'(5),'$VAR'(9),'$VAR'(8)),f('$VAR'(10)),g('$VAR'(6),'$VAR'(4))]; [g('$VAR'(12),'$VAR'(16)),f('$VAR'(11)),h('$VAR'(15),'$VAR'(17),'$VAR'(16)),h(R,'$VAR'(16),'$VAR'(16)),i('$VAR'(11),'$VAR'(14)),f('$VAR'(14)),f(R),g(S,S),i('$VAR'(16),'$VAR'(12)),f('$VAR'(14)),g('$VAR'(13),R),g(R,S),g('$VAR'(12),'$VAR'(13)),h('$VAR'(11),'$VAR'(14),'$VAR'(14)),i('$VAR'(16),'$VAR'(14)),f('$VAR'(14)),f(R),g('$VAR'(14),R)];12;18;3628800;172800;
 [h('$VAR'(6),'$VAR'(7),'$VAR'(6)),i('$VAR'(5),'$VAR'(2)),f('$VAR'(5)),i('$VAR'(8),'$VAR'(8)),i('$VAR'(7),'$VAR'(5)),i('$VAR'(4),'$VAR'(5)),g('$VAR'(2),'$VAR'(4)),f('$VAR'(9)),h('$VAR'(1),'$VAR'(8),'$VAR'(8)),f('$VAR'(3)),h('$VAR'(4),'$VAR'(5),'$VAR'(9)),h('$VAR'(9),'$VAR'(5),'$VAR'(9)),f('$VAR'(10)),i('$VAR'(7),'$VAR'(7)),i('$VAR'(5),'$VAR'(2)),f('$VAR'(8)),i('$VAR'(4),'$VAR'(3))]; [i(R,S),i('$VAR'(17),S),h('$VAR'(15),'$VAR'(16),'$VAR'(12)),i('$VAR'(13),'$VAR'(14)),h('$VAR'(15),S,'$VAR'(15)),f('$VAR'(17)),h('$VAR'(15),'$VAR'(12),'$VAR'(15)),i('$VAR'(16),'$VAR'(12)),g(S,'$VAR'(14)),h('$VAR'(16),'$VAR'(17),'$VAR'(13)),f(R),g('$VAR'(17),'$VAR'(17)),f('$VAR'(11)),g('$VAR'(16),'$VAR'(15)),g(T,'$VAR'(13)),f('$VAR'(17)),i(S,'$VAR'(11))];17;17;3628800;172800;
 [g('$VAR'(1),'$VAR'(9)),f('$VAR'(5)),f('$VAR'(6)),f('$VAR'(10)),i('$VAR'(6),'$VAR'(9)),f('$VAR'(6)),g('$VAR'(7),'$VAR'(2)),i('$VAR'(1),'$VAR'(10)),g('$VAR'(7),'$VAR'(5)),f('$VAR'(5)),i('$VAR'(10),'$VAR'(5)),g('$VAR'(4),'$VAR'(7)),g('$VAR'(3),'$VAR'(10)),f('$VAR'(10)),i('$VAR'(1),'$VAR'(7)),h('$VAR'(5),'$VAR'(3),'$VAR'(10)),h('$VAR'(1),'$VAR'(7),'$VAR'(1)),h('$VAR'(2),'$VAR'(7),'$VAR'(5))]; [i('$VAR'(11),'$VAR'(11)),h(R,'$VAR'(11),'$VAR'(15)),h('$VAR'(17),'$VAR'(11),'$VAR'(17)),f('$VAR'(16)),f('$VAR'(12)),g('$VAR'(17),'$VAR'(14)),i(T,'$VAR'(15)),h(R,'$VAR'(11),'$VAR'(12)),h('$VAR'(12),'$VAR'(17),'$VAR'(13)),h('$VAR'(15),'$VAR'(15),'$VAR'(11)),f('$VAR'(13)),f(R),g(S,'$VAR'(17))];18;13;3628800;172800;
 [h('$VAR'(10),'$VAR'(3),'$VAR'(7)),i('$VAR'(4),'$VAR'(6)),g('$VAR'(9),'$VAR'(2)),i('$VAR'(3),'$VAR'(5)),h('$VAR'(4),'$VAR'(7),'$VAR'(10)),i('$VAR'(10),'$VAR'(3)),g('$VAR'(2),'$VAR'(8)),f('$VAR'(5)),h('$VAR'(7),'$VAR'(1),'$VAR'(2)),h('$VAR'(10),'$VAR'(3),'$VAR'(2)),f('$VAR'(5)),i('$VAR'(6),'$VAR'(4)),g('$VAR'(8),'$VAR'(2)),f('$VAR'(5)),h('$VAR'(2),'$VAR'(6),'$VAR'(8)),f('$VAR'(1)),i('$VAR'(9),'$VAR'(4)),i('$VAR'(3),'$VAR'(6))]; [g('$VAR'(17),R),f(S),g('$VAR'(13),T),h(R,R,'$VAR'(15)),f('$VAR'(17)),h(T,S,'$VAR'(12)),f('$VAR'(17)),g(S,'$VAR'(11)),h(T,'$VAR'(16),S),g('$VAR'(14),T),h('$VAR'(11),'$VAR'(15),'$VAR'(17)),h('$VAR'(16),S,T),g(R,S),f('$VAR'(12))];18;14;3628800;172800;
 [i('$VAR'(2),'$VAR'(2)),f('$VAR'(1)),f('$VAR'(10)),h('$VAR'(8),'$VAR'(1),'$VAR'(5)),i('$VAR'(3),'$VAR'(10)),i('$VAR'(9),'$VAR'(5)),f('$VAR'(9)),h('$VAR'(4),'$VAR'(3),'$VAR'(2)),h('$VAR'(7),'$VAR'(3),'$VAR'(3)),h('$VAR'(10),'$VAR'(4),'$VAR'(1)),g('$VAR'(7),'$VAR'(9)),i('$VAR'(6),'$VAR'(7)),h('$VAR'(6),'$VAR'(6),'$VAR'(6)),i('$VAR'(6),'$VAR'(1)),h('$VAR'(6),'$VAR'(6),'$VAR'(1)),i('$VAR'(6),'$VAR'(2)),f('$VAR'(2)),h('$VAR'(9),'$VAR'(2),'$VAR'(1)),f('$VAR'(2))]; [f('$VAR'(17)),h('$VAR'(15),'$VAR'(14),'$VAR'(15)),h('$VAR'(14),'$VAR'(12),'$VAR'(11)),f('$VAR'(12)),g(R,'$VAR'(12)),i('$VAR'(11),'$VAR'(15)),i('$VAR'(17),'$VAR'(13)),h('$VAR'(16),'$VAR'(16),'$VAR'(14)),h('$VAR'(17),'$VAR'(16),'$VAR'(16)),i('$VAR'(12),'$VAR'(12)),h('$VAR'(17),'$VAR'(15),'$VAR'(14)),f('$VAR'(13)),f('$VAR'(16)),h('$VAR'(12),'$VAR'(12),'$VAR'(16)),g(R,'$VAR'(16)),g('$VAR'(16),'$VAR'(14)),f('$VAR'(15))];19;17;1814400;172800;
 [h('$VAR'(2),'$VAR'(5),'$VAR'(2)),f('$VAR'(2)),h('$VAR'(7),'$VAR'(10),'$VAR'(2)),h('$VAR'(7),'$VAR'(2),'$VAR'(2)),h('$VAR'(4),'$VAR'(3),'$VAR'(2)),f('$VAR'(2)),i('$VAR'(6),'$VAR'(6)),i('$VAR'(9),'$VAR'(7)),g('$VAR'(5),'$VAR'(10)),i('$VAR'(8),'$VAR'(9)),i('$VAR'(5),'$VAR'(4)),h('$VAR'(6),'$VAR'(9),'$VAR'(6)),g('$VAR'(1),'$VAR'(4)),i('$VAR'(9),'$VAR'(1)),f('$VAR'(9)),g('$VAR'(5),'$VAR'(4))]; [g('$VAR'(12),R),f('$VAR'(11)),g('$VAR'(13),'$VAR'(11)),i('$VAR'(17),'$VAR'(13)),f('$VAR'(17)),g('$VAR'(13),'$VAR'(15)),g(S,R),i(S,'$VAR'(15)),i(R,'$VAR'(16)),f('$VAR'(12)),g('$VAR'(16),'$VAR'(16)),i(S,'$VAR'(12)),h('$VAR'(15),'$VAR'(14),'$VAR'(13)),g('$VAR'(16),'$VAR'(15)),f('$VAR'(12)),f('$VAR'(17))];16;16;362880;172800;
 [h('$VAR'(4),'$VAR'(1),'$VAR'(1)),g('$VAR'(3),'$VAR'(10)),h('$VAR'(8),'$VAR'(7),'$VAR'(1)),i('$VAR'(7),'$VAR'(10)),i('$VAR'(1),'$VAR'(8)),f('$VAR'(8)),i('$VAR'(4),'$VAR'(1)),g('$VAR'(7),'$VAR'(10)),g('$VAR'(10),'$VAR'(6)),h('$VAR'(1),'$VAR'(4),'$VAR'(4)),f('$VAR'(1)),f('$VAR'(4)),f('$VAR'(3)),g('$VAR'(8),'$VAR'(8)),g('$VAR'(10),'$VAR'(1)),g('$VAR'(5),'$VAR'(10)),h('$VAR'(7),'$VAR'(10),'$VAR'(3)),i('$VAR'(7),'$VAR'(6))]; [h('$VAR'(17),'$VAR'(16),'$VAR'(14)),h(R,'$VAR'(16),S),f('$VAR'(14)),g('$VAR'(14),'$VAR'(14)),g('$VAR'(12),'$VAR'(12)),h('$VAR'(14),R,'$VAR'(15)),f('$VAR'(12)),f('$VAR'(11)),i('$VAR'(13),R),f('$VAR'(16)),f('$VAR'(15)),h(R,'$VAR'(12),'$VAR'(13)),g(R,'$VAR'(11)),i('$VAR'(17),'$VAR'(12))];18;14;362880;172800;
 [f('$VAR'(5)),i('$VAR'(4),'$VAR'(10)),g('$VAR'(5),'$VAR'(1)),g('$VAR'(6),'$VAR'(6)),h('$VAR'(6),'$VAR'(9),'$VAR'(4)),i('$VAR'(9),'$VAR'(4)),i('$VAR'(9),'$VAR'(5)),f('$VAR'(4)),g('$VAR'(9),'$VAR'(10)),f('$VAR'(5))]; [f('$VAR'(15)),g(R,'$VAR'(12)),i('$VAR'(11),'$VAR'(15)),f('$VAR'(11)),g('$VAR'(12),'$VAR'(12)),i('$VAR'(16),'$VAR'(15)),g('$VAR'(14),'$VAR'(15)),i('$VAR'(12),R),f('$VAR'(13)),i('$VAR'(17),R),f('$VAR'(15)),h(S,'$VAR'(16),'$VAR'(15)),g('$VAR'(12),'$VAR'(11)),f(R),g('$VAR'(12),'$VAR'(16)),f('$VAR'(14)),h(R,'$VAR'(13),'$VAR'(15)),i('$VAR'(11),'$VAR'(16))];10;18;60480;172800;
 [h('$VAR'(1),'$VAR'(2),'$VAR'(10)),h('$VAR'(1),'$VAR'(3),'$VAR'(8)),g('$VAR'(6),'$VAR'(1)),g('$VAR'(9),'$VAR'(1)),h('$VAR'(3),'$VAR'(8),'$VAR'(6)),h('$VAR'(10),'$VAR'(8),'$VAR'(3)),i('$VAR'(8),'$VAR'(7)),i('$VAR'(6),'$VAR'(10)),h('$VAR'(7),'$VAR'(9),'$VAR'(10)),h('$VAR'(4),'$VAR'(9),'$VAR'(8)),f('$VAR'(4)),h('$VAR'(8),'$VAR'(7),'$VAR'(6)),f('$VAR'(10))]; [g('$VAR'(13),S),g('$VAR'(15),'$VAR'(11)),i('$VAR'(16),S),i('$VAR'(11),'$VAR'(13)),g('$VAR'(14),T),i('$VAR'(13),'$VAR'(14)),h('$VAR'(12),'$VAR'(13),'$VAR'(14)),i('$VAR'(14),'$VAR'(16)),i(T,'$VAR'(12)),i('$VAR'(11),S),f('$VAR'(11)),i('$VAR'(11),'$VAR'(17)),f('$VAR'(15)),f('$VAR'(15)),i(S,R),h('$VAR'(12),S,'$VAR'(12)),h('$VAR'(17),R,'$VAR'(16)),g('$VAR'(15),'$VAR'(16))];13;18;3628800;169344;
 [h('$VAR'(3),'$VAR'(4),'$VAR'(5)),i('$VAR'(7),'$VAR'(9)),i('$VAR'(8),'$VAR'(6)),f('$VAR'(5)),h('$VAR'(3),'$VAR'(1),'$VAR'(10)),h('$VAR'(3),'$VAR'(7),'$VAR'(1)),f('$VAR'(5)),h('$VAR'(10),'$VAR'(5),'$VAR'(1)),f('$VAR'(3)),f('$VAR'(7)),f('$VAR'(1)),i('$VAR'(2),'$VAR'(7)),g('$VAR'(5),'$VAR'(2))]; [f('$VAR'(16)),h('$VAR'(17),S,'$VAR'(12)),h(S,'$VAR'(17),'$VAR'(13)),f('$VAR'(11)),g(S,'$VAR'(16)),f('$VAR'(12)),g('$VAR'(16),S),g('$VAR'(13),'$VAR'(12)),f('$VAR'(15)),f('$VAR'(11)),i('$VAR'(17),R),h('$VAR'(14),R,'$VAR'(17)),f('$VAR'(11))];13;13;3628800;155520;
 [g('$VAR'(7),'$VAR'(9)),i('$VAR'(1),'$VAR'(9)),h('$VAR'(1),'$VAR'(9),'$VAR'(10)),g('$VAR'(8),'$VAR'(9)),h('$VAR'(1),'$VAR'(10),'$VAR'(3)),g('$VAR'(8),'$VAR'(9)),f('$VAR'(7)),h('$VAR'(1),'$VAR'(9),'$VAR'(4)),f('$VAR'(7)),g('$VAR'(8),'$VAR'(7)),g('$VAR'(8),'$VAR'(4)),g('$VAR'(5),'$VAR'(5)),i('$VAR'(10),'$VAR'(2)),i('$VAR'(9),'$VAR'(7)),h('$VAR'(9),'$VAR'(1),'$VAR'(1))]; [f('$VAR'(14)),f('$VAR'(17)),h('$VAR'(17),R,'$VAR'(15)),i('$VAR'(13),'$VAR'(14)),g(R,'$VAR'(15)),g('$VAR'(13),'$VAR'(14)),h('$VAR'(11),'$VAR'(15),'$VAR'(16)),g('$VAR'(15),'$VAR'(17)),h('$VAR'(13),'$VAR'(11),'$VAR'(11)),g('$VAR'(15),'$VAR'(14)),g('$VAR'(15),S),i('$VAR'(11),'$VAR'(17)),g(S,'$VAR'(13)),f('$VAR'(12)),i('$VAR'(12),'$VAR'(13))];15;15;362880;155520;
 [g('$VAR'(9),'$VAR'(6)),i('$VAR'(8),'$VAR'(1)),i('$VAR'(10),'$VAR'(6)),f('$VAR'(2)),i('$VAR'(3),'$VAR'(1)),i('$VAR'(10),'$VAR'(9)),f('$VAR'(1)),g('$VAR'(1),'$VAR'(2)),h('$VAR'(10),'$VAR'(5),'$VAR'(7)),g('$VAR'(9),'$VAR'(7)),i('$VAR'(6),'$VAR'(3)),i('$VAR'(1),'$VAR'(7)),i('$VAR'(5),'$VAR'(9)),g('$VAR'(9),'$VAR'(8))]; [g(S,'$VAR'(11)),f('$VAR'(11)),g(S,S),h('$VAR'(16),'$VAR'(15),'$VAR'(17)),i(S,'$VAR'(11)),i(R,'$VAR'(11)),f('$VAR'(16)),g('$VAR'(14),'$VAR'(11)),f(S),f(S),f(S),i('$VAR'(14),'$VAR'(12)),f('$VAR'(13)),g('$VAR'(17),'$VAR'(15)),g('$VAR'(11),'$VAR'(12))];14;15;362880;151200;
 [f('$VAR'(2)),h('$VAR'(4),'$VAR'(7),'$VAR'(9)),g('$VAR'(4),'$VAR'(1)),i('$VAR'(5),'$VAR'(4)),h('$VAR'(7),'$VAR'(4),'$VAR'(1)),i('$VAR'(9),'$VAR'(7)),h('$VAR'(3),'$VAR'(8),'$VAR'(3)),g('$VAR'(1),'$VAR'(2)),i('$VAR'(2),'$VAR'(8)),h('$VAR'(7),'$VAR'(5),'$VAR'(10)),h('$VAR'(8),'$VAR'(10),'$VAR'(3)),g('$VAR'(3),'$VAR'(1)),i('$VAR'(9),'$VAR'(10)),i('$VAR'(9),'$VAR'(2))]; [h('$VAR'(12),'$VAR'(12),T),i(S,'$VAR'(14)),i('$VAR'(11),'$VAR'(11)),h('$VAR'(15),'$VAR'(13),'$VAR'(13)),g(S,T),i('$VAR'(17),'$VAR'(11)),i('$VAR'(12),'$VAR'(16)),f('$VAR'(11)),g('$VAR'(15),'$VAR'(17)),i(R,'$VAR'(15)),f('$VAR'(13)),f('$VAR'(15)),g(S,'$VAR'(12)),g(T,T),g('$VAR'(15),'$VAR'(13)),g(T,S),f(S),h(R,'$VAR'(13),'$VAR'(17)),f('$VAR'(12))];14;19;3628800;144000;
 [g('$VAR'(7),'$VAR'(5)),i('$VAR'(1),'$VAR'(9)),g('$VAR'(3),'$VAR'(8)),f('$VAR'(9)),g('$VAR'(3),'$VAR'(2)),f('$VAR'(7)),h('$VAR'(7),'$VAR'(6),'$VAR'(1)),g('$VAR'(3),'$VAR'(9)),g('$VAR'(7),'$VAR'(5)),i('$VAR'(9),'$VAR'(3)),f('$VAR'(5)),i('$VAR'(8),'$VAR'(8)),i('$VAR'(6),'$VAR'(8)),i('$VAR'(6),'$VAR'(9)),g('$VAR'(6),'$VAR'(4)),f('$VAR'(6)),h('$VAR'(9),'$VAR'(8),'$VAR'(10))]; [g('$VAR'(13),R),f('$VAR'(16)),h(R,T,R),h('$VAR'(13),R,'$VAR'(17)),i('$VAR'(11),'$VAR'(17)),h('$VAR'(14),'$VAR'(13),'$VAR'(14)),g('$VAR'(14),'$VAR'(11)),f('$VAR'(15)),h('$VAR'(15),'$VAR'(12),'$VAR'(16)),f('$VAR'(13)),i('$VAR'(17),S),g(T,R),i('$VAR'(17),S),f(R)];17;14;3628800;138240;
 [h('$VAR'(5),'$VAR'(2),'$VAR'(6)),g('$VAR'(5),'$VAR'(10)),i('$VAR'(8),'$VAR'(1)),i('$VAR'(6),'$VAR'(7)),h('$VAR'(5),'$VAR'(4),'$VAR'(8)),f('$VAR'(10)),f('$VAR'(8)),f('$VAR'(5)),i('$VAR'(4),'$VAR'(10)),f('$VAR'(3)),h('$VAR'(10),'$VAR'(3),'$VAR'(4)),h('$VAR'(7),'$VAR'(9),'$VAR'(5)),h('$VAR'(9),'$VAR'(1),'$VAR'(3))]; [g(R,'$VAR'(12)),g('$VAR'(13),'$VAR'(16)),i('$VAR'(16),T),f('$VAR'(15)),i('$VAR'(12),R),h('$VAR'(12),R,'$VAR'(14)),f('$VAR'(16)),h('$VAR'(17),T,'$VAR'(11)),h('$VAR'(14),'$VAR'(13),'$VAR'(12)),i('$VAR'(12),'$VAR'(12)),h('$VAR'(13),'$VAR'(13),R),i('$VAR'(16),'$VAR'(14)),i('$VAR'(16),T),g('$VAR'(11),R),g(R,'$VAR'(15)),h('$VAR'(11),'$VAR'(13),S)];13;16;3628800;138240;
 [g('$VAR'(4),'$VAR'(1)),i('$VAR'(1),'$VAR'(3)),h('$VAR'(1),'$VAR'(1),'$VAR'(10)),f('$VAR'(7)),g('$VAR'(7),'$VAR'(7)),f('$VAR'(9)),f('$VAR'(7)),g('$VAR'(7),'$VAR'(7)),g('$VAR'(8),'$VAR'(2)),f('$VAR'(3)),g('$VAR'(10),'$VAR'(3)),h('$VAR'(4),'$VAR'(2),'$VAR'(9)),h('$VAR'(4),'$VAR'(9),'$VAR'(9)),i('$VAR'(1),'$VAR'(4)),h('$VAR'(3),'$VAR'(1),'$VAR'(9))]; [i('$VAR'(16),'$VAR'(11)),h('$VAR'(13),T,'$VAR'(16)),h(S,'$VAR'(14),'$VAR'(13)),i('$VAR'(16),T),h('$VAR'(13),R,'$VAR'(14)),f('$VAR'(11)),h('$VAR'(13),'$VAR'(13),'$VAR'(11)),f(S),i(S,R),f('$VAR'(13)),g('$VAR'(15),'$VAR'(17)),g(S,T),h('$VAR'(11),'$VAR'(15),'$VAR'(12)),g(T,T),g('$VAR'(13),S),h('$VAR'(12),'$VAR'(15),'$VAR'(14)),g('$VAR'(11),T)];15;17;1814400;138240;
 [g('$VAR'(9),'$VAR'(3)),i('$VAR'(1),'$VAR'(3)),g('$VAR'(7),'$VAR'(3)),f('$VAR'(9)),h('$VAR'(6),'$VAR'(7),'$VAR'(4)),i('$VAR'(10),'$VAR'(7)),g('$VAR'(8),'$VAR'(3)),i('$VAR'(5),'$VAR'(7)),h('$VAR'(4),'$VAR'(3),'$VAR'(6)),h('$VAR'(1),'$VAR'(10),'$VAR'(3))]; [h('$VAR'(15),'$VAR'(16),'$VAR'(14)),g('$VAR'(12),R),i(S,'$VAR'(16)),h('$VAR'(16),'$VAR'(15),'$VAR'(17)),f('$VAR'(15)),i('$VAR'(11),'$VAR'(17)),f('$VAR'(17)),h('$VAR'(16),'$VAR'(13),R),f('$VAR'(14)),i('$VAR'(11),'$VAR'(14)),g('$VAR'(16),'$VAR'(13)),i('$VAR'(13),'$VAR'(12)),i('$VAR'(16),'$VAR'(16)),h('$VAR'(17),'$VAR'(13),S),g('$VAR'(12),'$VAR'(13)),i('$VAR'(13),S),h(S,'$VAR'(12),R),h('$VAR'(12),'$VAR'(14),S)];10;18;362880;129600;
